rewards,ma_rewards
-380.9956892027354,-440.16136348409634
-6.757431477118098,-396.8209702833985
-450.6560235721475,-402.20447561227337
-465.89675618239795,-408.5737036692858
-462.65429187760225,-413.98176249011743
-257.7395792020906,-398.35754416131476
-372.7348456177474,-395.79527430695805
-255.00345456765362,-381.71609233302763
-583.5919386109036,-401.90367696081523
-246.02112465310012,-386.31542173004374
-236.23249182521803,-371.30712873956116
-252.66897739905113,-359.4433136055102
-375.1197328406616,-361.0109555290253
-365.728538626962,-361.482713838819
-495.5611021779326,-374.8905526727304
-382.89013781594275,-375.69051118705164
-496.22970867253366,-387.7444309355999
-398.57630346122204,-388.82761818816215
-371.3956513570626,-387.0844215050522
-498.87911425646655,-398.26389078019366
-366.68968791547695,-395.106470493722
-499.44812226976023,-405.5406356713258
-486.45085980102743,-413.63165808429596
-374.25950696624085,-409.6944429724905
-359.08442962913216,-404.6334416381547
-742.180593281333,-438.3881568024725
-375.37124021793346,-432.0864651440186
-256.39841691798284,-414.517660321415
-367.60560100632057,-409.82645438990556
-486.6320545636919,-417.5070144072842
-125.61209766508617,-388.31752273306444
-258.10982843675004,-375.296753303433
-434.29834985233015,-381.1969129583227
-499.41305961206723,-393.0185276236972
-613.6188249650581,-415.0785573578333
-373.9955209135591,-410.9702537134059
-429.1484700872031,-412.7880753507856
-376.1536809828168,-409.12463591398875
-487.2804160003019,-416.94021392262005
-490.2293594462918,-424.2691284749872
-242.27780719836062,-406.06999634732455
-247.0086248051912,-390.1638591931112
-376.86851067650247,-388.8343243414503
-254.46285371343254,-375.39717727864854
-857.5811109414548,-423.61557064492916
-361.91758171862364,-417.44577175229864
-732.9046407318652,-448.9916586502553
-128.99441793287315,-416.99193457851715
-128.51454611522433,-388.1441957321879
-369.63304268935383,-386.29308042790444
-370.7657536452318,-384.7403477496372
-258.10779035471506,-372.077092010145
-244.9953975019229,-359.3689225593228
-237.70486131453265,-347.2025164348438
-642.7122827052474,-376.7534930618842
-379.7971846482213,-377.0578622205179
-359.0296040338415,-375.2550364018503
-235.89110833641627,-361.31864359530687
-350.83559177172214,-360.27033841294843
-254.541195134317,-349.6974240850853
-259.9221875114826,-340.719900427725
-332.8580464778488,-339.9337150327374
-254.4313340286104,-331.3834769323247
-499.7521849399696,-348.2203477330892
-626.0673871766776,-376.0050516774481
-750.4667449337127,-413.4512210030745
-617.5712326396908,-433.8632221667362
-499.2192133128581,-440.39882128134843
-381.95573558369927,-434.5545127115835
-375.10571260560494,-428.6096327009857
-130.81650074561335,-398.8303195054484
-381.58794895298814,-397.1060824502024
-611.4005837292362,-418.5355325781058
-221.86566458146842,-398.86854577844207
-118.33540057889722,-370.8152312584876
-351.7370484847866,-368.9074129811175
-380.7433134726937,-370.09100303027515
-497.1871809436355,-382.80062082161123
-351.9804101958164,-379.71859975903175
-251.17707422158094,-366.8644472052867
-450.84274169044437,-375.2622766538025
-509.5634773561907,-388.6923967240413
-483.5303433319829,-398.1761913848355
-769.1871757381688,-435.2772898201688
-624.4346971893111,-454.19303055708303
-251.80875695162158,-433.95460319653694
-389.54069381430327,-429.51321225831356
-724.6956432043085,-459.03145535291304
-606.8625893128468,-473.8145687489064
-256.64803879353263,-452.097915753369
-119.8593732527148,-418.8740615033036
-132.12791593878353,-390.1994469468516
-252.67640268654603,-376.44714252082105
-247.97758702592924,-363.6001869713319
-242.30115220523982,-351.4702834947227
-586.6238425779261,-374.9856394030431
-131.9638350057579,-350.6834589633146
-397.5418826518739,-355.36930133217055
-269.55976112750494,-346.788347311704
-374.4287670072719,-349.5523892812608
-495.7543574695976,-364.1725861000945
-376.96419733462,-365.45174722354704
-242.45104386790752,-353.15167688798306
-253.38918800492485,-343.17542799967725
-336.38006384609724,-342.4958915843192
-372.726693384184,-345.5189717643057
-620.9416920426265,-373.0612437921378
-497.95603144804073,-385.55072255772814
-233.80248247273065,-370.3758985492284
-499.84025943516497,-383.32233463782205
-856.8891539539233,-430.6790165694322
-389.1281508061615,-426.5239299931051
-596.2957470465645,-443.5011116984511
-550.3732156376952,-454.18832209237553
-379.81069656278464,-446.75055953941643
-485.7558552269696,-450.65108910817173
-495.93737465733847,-455.1797176630884
-387.0052684771371,-448.3622727444933
-473.1343845592428,-450.83948392596824
-492.0727334569895,-454.9628088790704
-253.70633875720733,-434.8371618668841
-495.10096667894675,-440.8635423480904
-241.03945644964966,-420.8811337582463
-242.99452568947922,-403.0924729513696
-239.85700580531855,-386.76892623676446
-126.25909382274985,-360.717942995363
-495.1137638240469,-374.1575250782314
-475.1417023103327,-384.25594280144156
-245.33908932060828,-370.3642574533583
-498.3857836912805,-383.16641007715054
-251.46920486215103,-369.9966895556506
-125.25133851740152,-345.52215445182577
-516.7233387968355,-362.64227288632674
-461.8478719148245,-372.5628327891766
-258.1289124520034,-361.11944075545927
-129.37087688776785,-337.94458436869013
-497.38436535684565,-353.8885624675057
-376.19013244115666,-356.1187194648708
-384.2898194508737,-358.9358294634711
-509.0900394053622,-373.9512504576602
-375.53990349630436,-374.11011576152464
-247.83500422558672,-361.48260460793085
-251.4817803075484,-350.4825221778926
-464.32916348110734,-361.86718630821406
-314.4562013611517,-357.1260878135078
-359.94473535243344,-357.4079525674004
-493.70793963506117,-371.03795127416646
-372.13905355708636,-371.14806150245846
-244.7743834228684,-358.5106936944995
-398.73963603643693,-362.53358792869324
-611.3510186668881,-387.41533100251274
-616.7601516433988,-410.34981306660137
-250.47918275520865,-394.3627500354621
-249.61852651193757,-379.88832768310965
-243.5350739466446,-366.25300230946317
-723.4809382116981,-401.97579589968666
-622.8449450212381,-424.06271081184184
-375.5898756514283,-419.2154272958005
-129.3269796731806,-390.22658253353853
-1.9778931287237282,-351.4017135930571
-382.07217520213004,-354.4687597539644
-124.44073200842746,-331.4659569794107
-370.4272234414635,-335.362083625616
-244.3520866034567,-326.26108392340007
-367.5011961678011,-330.3850951478402
-383.45770207304423,-335.6923558403606
-604.2294502099993,-362.5460652773245
-487.9613913427732,-375.08759788386936
-120.37131983205816,-349.61597007868824
-249.88707575657594,-339.643080646477
-601.1278358734306,-365.7915561691724
-275.09608189026216,-356.7220087412814
-498.5655086769732,-370.9063587348506
-554.5574579217057,-389.2714686535361
-657.8569565176113,-416.1300174399436
